id,category,chinese,pinyin,description_en,fan,condition_type,notes
si_gui_er,Kongs,四歸二,Sì guī èr,Break kong twice (123+123+33),5,auto,
si_gui_san,Kongs,四歸三,Sì guī sān,Break kong three times (123+123+234+345),10,auto,
yi_ban_gao,Repeated Patterns,一般高,Yībān gāo,Two identical sequences in same suit (123+123),3,auto,
wei_ba,Repeated Patterns,尾巴,Wěibā,Three consecutive numbers — two as pung and third as pair (111+222+33),5,auto,
san_xiang_feng,Repeated Patterns,三相逢,Sān xiàng féng,Same sequence in all 3 suits OR same pung in 3 suits OR 3 consecutive pungs in 1 suit,10,auto,
shuang_long_bao,Repeated Patterns,雙龍抱,Shuānglóng bào,Two pairs of identical sequences (123+123+456+456),20,auto,
ban_qiu,All Exposed,半求,Bàn qiú,All tiles exposed + win by self draw,5,manual,
quan_qiu,All Exposed,全求,Quán qiú,All tiles exposed + win by discard,10,manual,
tian_ting,Special Wins,天聽,Tiān tīng,Dealt a winning hand (tenpai from deal) — everyone pays,20,manual,
tian_hu,Special Wins,天糊,Tiān hú,Dealer wins on first draw — everyone pays,40,manual,
di_hu,Special Wins,地糊,Dì hú,Non-dealer wins on dealer's first discard — dealer pays,40,manual,
wu_men_qi,Special Hands,五門齊,Wǔ mén qí,Hand contains all 5 suits (bamboo + character + circle + wind + dragon),10,auto,
ni_gu_ni_gu,Special Hands,尼故尼故,Ní gù ní gù,All pairs (7 pairs for 17-tile hand),25,manual,Special hand — no standard meld grouping
hun_yi_se,Special Hands,混一色,Hùn yīsè,All tiles from one suit plus winds/dragons,15,auto,Superseded by qing_yi_se
qing_yi_se,Special Hands,清一色,Qīngyīsè,All tiles from exactly one suit (no winds/dragons),40,auto,Supersedes hun_yi_se
wu_bao,Wild Tiles,無寶,Wú bǎo,No wild tiles used,1,auto,
yi_bao,Wild Tiles,一寶,Yī bǎo,Each wild tile used,1,count,fan_per=1
mo_bao,Wild Tiles,摸寶,Mō bǎo,Win by self-drawing a wild tile,1,manual,
si_bao,Wild Tiles,四寶,Sì bǎo,Four wild tiles in hand,40,auto,Supersedes yi_bao count bonus at 4
